log_id,contact_id,field_name,issue_type,issue_description,severity,logged_at
29a9d535-c67a-4bb1-abe8-ed2972244be2,625549534849,holdSeconds,outlier,Long hold: 2623.486s > 30min,high,2026-03-16 09:23:40.880171
1c2f2a93-54a5-46d8-ad21-fc31363e55b2,625338188073,talk_ratio,outlier,Silent agent: 23%,medium,2026-03-16 09:23:41.371048
25eec6fa-fb59-4770-b7ee-811bda285f70,625435188686,talk_ratio,outlier,Silent agent: 15%,medium,2026-03-16 09:23:41.410021
a36bbb62-374d-44e4-8b3d-c151f48ab689,625649798181,talk_ratio,outlier,Silent agent: 20%,medium,2026-03-16 09:23:41.461281
